韩庚	韩庚	42506307	139	936
白百何	白百何	15830877	358	2652
贾乃亮	贾乃亮	28855265	287	2500
蘇有朋	蘇有朋	15601316	438	3359
芮成钢	芮成钢	10480286	435	4344
黄圣依	黄圣依	25447335	179	202
郭敬明	郭敬明	33316052	233	1482
马翾	马翾	19475915	1743	2537
马伊琍	马伊琍	35213326	186	4917
杨柳群	杨柳群	2	23	0
陈乔恩	陈乔恩	30060196	291	3352
罗亚蒙	罗亚蒙	11629770	931	29847
时尚生活撰稿人	时尚生活撰稿人	15954656	94	14493
时尚_吕宁	时尚_吕宁	12030347	209	2017
林更新	林更新	18522584	503	1620
伊能靜	伊能靜	11143313	772	3607
吳青峰	吳青峰	9685265	500	490
贾樟柯	贾樟柯	14374197	222	4443
张亮Sean	张亮Sean	20095726	975	2603
姚晨	姚晨	71266338	623	7269
杜海涛Hito	杜海涛Hito	15620064	598	4312
六六	六六	11584686	195	13608
苏芩	苏芩	36401534	872	3157
时尚芭莎-艾琪儿	时尚芭莎-艾琪儿	23156310	470	9471
蕭敬騰	蕭敬騰	12649454	176	3403
彭艳老师	彭艳老师	10962393	31	3953
李开复	李开复	51197236	505	13876
任泉	任泉	10292922	559	2809
乐嘉	乐嘉	40859764	9	3031
阿信	阿信	18729766	90	1172
小沈阳	小沈阳	11891749	325	1513
刘烨	刘烨	38736050	57	395
韩寒	韩寒	38968122	968	272
热门新闻记者彪	热门新闻记者彪	12915914	352	16022
百变美薇儿	百变美薇儿	12307901	89	3474
汪东城TD	汪东城TD	11409605	623	3323
宋茜-fx--victoria	宋茜-fx--victoria	13229218	37	226
黑人建州	黑人建州	14055185	520	5561
任志强	任志强	21855245	164	71613
周笔畅	周笔畅	15799312	219	1207
俞敏洪	俞敏洪	13367277	157	826
楊千嬅	楊千嬅	12117245	393	5358
彭于晏	彭于晏	10591110	453	3026
蒋方舟	蒋方舟	7780900	819	1321
冯绍峰	冯绍峰	15210858	285	150
刘亦菲	刘亦菲	30847558	129	342
大嘴韩乔生	大嘴韩乔生	11532543	516	7140
何炅	何炅	49973256	578	6382
张馨予	张馨予	9009715	564	3179
张泉灵	张泉灵	9862858	230	3031
主播李湘	主播李湘	18746371	398	1699
陆毅	陆毅	16441116	183	1138
李小璐Super璐	李小璐Super璐	20456495	323	4921
明道	明道	20673691	263	743
西藏昌都人韩红	西藏昌都人韩红	11169252	388	2545
昕薇vivi-豆豆	昕薇vivi-豆豆	21116268	207	5017
杨子	杨子	24187675	2209	4023
郎朗	郎朗	10746513	76	1081
北京杨博	北京杨博	9099334	1312	9973
郎咸平	郎咸平	17232171	0	365
赵文瑄	赵文瑄	10861299	376	762
黄健翔	黄健翔	17971456	247	20547
崔始源	崔始源	13163838	60	800
大S	大S	35565811	209	1759
马苏	马苏	9197372	395	3472
那英	那英	19346744	354	1145
张杰	张杰	22574654	143	1188
延参法师	延参法师	26895483	1721	22019
胡歌	胡歌	27289260	650	2859
Kevin凯文老师	Kevin凯文老师	42421234	309	8599
angelababy	angelababy	41716958	591	1785
Kevin凯文老师	Kevin凯文老师	42483539	309	8608
angelababy	angelababy	41759663	591	1786
IT放大镜	IT放大镜	9996195	28	6020
王珞丹	王珞丹	32807422	768	2300
袁弘	袁弘	32849694	539	3494
俞灏明	俞灏明	10661779	206	563
李敏镐	李敏镐	22954378	11	268
孙杨	孙杨	23553028	102	1468
杜淳	杜淳	33579802	371	1770
大自然保护协会-马云	大自然保护协会-马云	15625013	0	39
陈思诚	陈思诚	10600121	702	2393
贝利PELE	贝利PELE	11343616	0	1052
林心如	林心如	57570457	215	5945
贾静雯	贾静雯	11766106	133	635
时尚小编Anne	时尚小编Anne	10064440	136	2107
黄晓明	黄晓明	22685039	506	2013
张靓颖	张靓颖	27914967	238	3855
张成龙2012	张成龙2012	9812312	199	744
羅志祥	羅志祥	30827782	277	3845
劉嘉玲	劉嘉玲	12653515	350	2057
吳君如大美女	吳君如大美女	18524819	190	412
柯震東Kai	柯震東Kai	31473737	221	800
李娜	李娜	23305429	81	631
徐小平	徐小平	11666424	1932	13803
唐嫣	唐嫣	24434720	200	2393
有斐君	有斐君	8779372	577	4259
孙燕姿	孙燕姿	21245076	69	344
成龙	成龙	22496376	5	758
周新乾清华EMBA	周新乾清华EMBA	12332572	1415	762
钟汉良	钟汉良	13736754	41	118
模特燕燕	模特燕燕	11074734	27	15432
电商圈小七说	电商圈小七说	12059899	487	10713
方大同	方大同	10426232	143	2604
张翰	张翰	17110915	255	1176
高晓松	高晓松	36080703	28	4269
稻盛和夫	稻盛和夫	10865363	31	271
舒淇	舒淇	25576287	238	2687
陈志武	陈志武	9455360	197	4095
吴佩慈	吴佩慈	11906406	387	3253
刘若英	刘若英	18264240	29	2697
DennissYe	DennissYe	12792303	309	2753
歐弟	歐弟	18384874	2805	466
张梓琳	张梓琳	12333178	793	3626
贤蛋同学	贤蛋同学	30984471	1466	4451
潮流时尚主编	潮流时尚主编	26930373	738	12899
吴昕	吴昕	11812018	342	1225
陈里	陈里	20766585	2127	17416
蔡康永	蔡康永	28304301	1805	1008
易建联	易建联	13550207	172	1227
周立波	周立波	36984744	21	1021
刘谦	刘谦	8915566	138	275
张根硕	张根硕	17790468	34	1043
陈坤	陈坤	73343207	502	4294
叶祖新	叶祖新	11148327	210	1874
蕭亞軒MISSELVA	蕭亞軒MISSELVA	11897986	307	1866
李冰冰	李冰冰	27849457	411	3775
王石	王石	15846186	193	6813
赵薇	赵薇	59207079	412	3521
冯小刚	冯小刚	17419268	312	621
时尚潮人MUOUM	时尚潮人MUOUM	19796297	681	16797
田亮	田亮	13857901	178	1090
宁静	宁静	9890026	189	624
史光起	史光起	11268678	824	10472
吸血鬼刺青-Tattoo-纹身-富博禹	吸血鬼刺青-Tattoo-纹身-富博禹	9946921	792	3626
时尚_辰辰Alice	时尚_辰辰Alice	11091712	1789	6284
小S	小S	35731412	342	1140
高圆圆	高圆圆	36145313	263	1023
范范范瑋琪	范范范瑋琪	42522284	374	3419
陆琪	陆琪	21286777	951	11459
李静	李静	10926436	751	9815
谢娜	谢娜	51657021	616	7137
黄磊微博	黄磊微博	12688641	195	1370
张韶涵	张韶涵	9836339	241	744
戚薇	戚薇	21224102	435	2210
佟丽娅	佟丽娅	17922414	674	3948
林俊杰	林俊杰	23269038	353	3474
郭德纲	郭德纲	59413876	65	1140
赵丽颖	赵丽颖	12476861	301	1656
小P老师	小P老师	35210034	961	6195
宋丹丹	宋丹丹	18498790	94	658
牛尔	牛尔	15294659	720	11965
袁姗姗	袁姗姗	10410870	398	2040
潘石屹	潘石屹	16995377	91	20270
郭富城	郭富城	9609724	382	1161
文章同學	文章同學	54237905	189	2212
陆亚萍	陆亚萍	42554595	460	3261
杨幂	杨幂	36575630	581	2672
pengxiaoyu_	pengxiaoyu_	12242728	338	2164
酱缸外的秦枫	酱缸外的秦枫	253	0	2
方圆正行	方圆正行	24609187	2346	639
冯喆小胖	冯喆小胖	11288723	206	1585
王力宏	王力宏	46847795	52	1461
鍾欣潼	鍾欣潼	17769141	509	3890
李嘉欣Michele	李嘉欣Michele	13292066	75	1153
李维嘉	李维嘉	12716247	222	3276
刘诗诗	刘诗诗	13971534	203	1111
魏晨	魏晨	13689973	178	1220
鞍钢郭明义	鞍钢郭明义	21577727	3000	9296
赛琳娜Selina	赛琳娜Selina	9063985	70	912
佟大为	佟大为	15256276	479	2555
柳岩	柳岩	15993337	477	2828
梁詠琪	梁詠琪	11775615	379	4752
阿密特古歷來	阿密特古歷來	74	54	475
陳奕迅所長	陳奕迅所長	11060587	162	854
孙坚	孙坚	13534787	632	5001
林依晨Ariel	林依晨Ariel	9361601	119	615
蔡依林	蔡依林	32121196	143	1348
潘瑋柏	潘瑋柏	17186321	353	3648
張智霖	張智霖	21981229	176	1307
吴奇隆TD	吴奇隆TD	36259437	661	2977
梁静茹	梁静茹	13994891	273	5434
张小娴	张小娴	62561149	109	2575
夢想家林志穎	夢想家林志穎	49647008	146	2725
李准基	李准基	14317260	6	524
PSY_OPPA	PSY_OPPA	24502922	19	305
洪晃ilook	洪晃ilook	9755155	874	16933
李晨	李晨	12342650	628	5291
薛蛮子	薛蛮子	11513738	1986	86248
杨澜	杨澜	34893090	129	5131
edc陳冠希	edc陳冠希	22067784	39	1669
韩庚	韩庚	42525014	139	937
白百何	白百何	15839756	358	2652
贾乃亮	贾乃亮	28945447	290	2504
蘇有朋	蘇有朋	15638645	438	3361
芮成钢	芮成钢	10495565	435	4344
黄圣依	黄圣依	25453419	179	202
郭敬明	郭敬明	33430719	233	1494
马翾	马翾	19475741	1743	2546
马伊琍	马伊琍	35224505	186	4917
杨柳群	杨柳群	2	23	0
陈乔恩	陈乔恩	30171206	290	3358
罗亚蒙	罗亚蒙	11629702	936	30076
时尚生活撰稿人	时尚生活撰稿人	15954834	94	14496
时尚_吕宁	时尚_吕宁	12030343	209	2020
林更新	林更新	18568571	504	1623
伊能靜	伊能靜	11168811	771	3613
吳青峰	吳青峰	9691611	500	490
贾樟柯	贾樟柯	14407921	222	4454
张亮Sean	张亮Sean	20137073	976	2605
姚晨	姚晨	71382446	627	7278
苏芩	苏芩	36481499	872	3162
杜海涛Hito	杜海涛Hito	15704451	597	4318
六六	六六	11587085	195	13628
时尚芭莎-艾琪儿	时尚芭莎-艾琪儿	23156451	470	9475
蕭敬騰	蕭敬騰	12657875	176	3404
李开复	李开复	51188655	505	13880
任泉	任泉	10292060	559	2812
乐嘉	乐嘉	40869219	9	3032
阿信	阿信	18740568	90	1173
小沈阳	小沈阳	11895862	325	1516
刘烨	刘烨	38781001	57	396
韩寒	韩寒	39263848	968	282
百变美薇儿	百变美薇儿	12307912	89	3475
汪东城TD	汪东城TD	11416261	623	3325
宋茜-fx--victoria	宋茜-fx--victoria	13245074	37	226
黑人建州	黑人建州	14086598	520	5565
任志强	任志强	22054453	164	71777
周笔畅	周笔畅	15837026	219	1209
俞敏洪	俞敏洪	13385576	157	826
楊千嬅	楊千嬅	12139805	394	5363
彭于晏	彭于晏	10614172	451	3030
蒋方舟	蒋方舟	7784727	819	1325
冯绍峰	冯绍峰	15302707	285	165
刘亦菲	刘亦菲	30900274	129	343
大嘴韩乔生	大嘴韩乔生	11531502	516	7140
何炅	何炅	50163671	578	6394
张馨予	张馨予	9009841	565	3185
张泉灵	张泉灵	9879531	230	3031
主播李湘	主播李湘	18782388	398	1690
陆毅	陆毅	16700256	185	1145
李小璐Super璐	李小璐Super璐	20559639	323	4926
明道	明道	20693577	263	743
西藏昌都人韩红	西藏昌都人韩红	11186583	388	2546
昕薇vivi-豆豆	昕薇vivi-豆豆	21116293	207	5021
杨子	杨子	24187433	2209	4023
郎朗	郎朗	10745900	76	1083
北京杨博	北京杨博	9099567	1320	10050
郎咸平	郎咸平	17232174	0	366
赵文瑄	赵文瑄	10858056	377	768
黄健翔	黄健翔	17969843	247	20552
崔始源	崔始源	13165637	60	801
大S	大S	35591620	209	1759
马苏	马苏	9203134	395	3474
那英	那英	19393037	355	1166
张杰	张杰	22615222	143	1188
延参法师	延参法师	27092501	1721	22061
胡歌	胡歌	27310843	650	2859
孟非	孟非	34405504	9	593
